timestamp,content,category,processed_content
2024-08-30 08:34:48.116183,Patient reporting persistent Nausea. Requires prompt attention.,Urgent,patient reporting persistent nausea requires prompt attention
2024-08-30 11:53:48.116183,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent,patient reporting persistent shortness breath requires prompt attention
2024-08-29 21:35:48.116183,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency,urgent patient experiencing severe cough immediate assistance required
2024-08-30 07:53:48.116183,Patient reporting persistent Cough. Requires prompt attention.,Urgent,patient reporting persistent cough requires prompt attention
2024-08-30 10:05:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-30 02:17:48.116183,Follow-up needed for mild Chest pain.,Non-urgent,followup needed mild chest pain
2024-08-29 23:58:48.116183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-29 22:15:48.116183,Follow-up needed for mild Shortness of breath.,Non-urgent,followup needed mild shortness breath
2024-08-30 12:22:48.116183,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency,urgent patient experiencing severe shortness breath immediate assistance required
2024-08-30 09:44:48.116183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-30 06:19:48.116183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-29 22:38:48.116183,Patient reporting persistent Fever. Requires prompt attention.,Urgent,patient reporting persistent fever requires prompt attention
2024-08-30 12:11:48.116183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-30 01:25:48.116183,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency,urgent patient experiencing severe cough immediate assistance required
2024-08-30 06:38:48.116183,Follow-up needed for mild Nausea.,Non-urgent,followup needed mild nausea
2024-08-30 09:10:48.116183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-29 23:46:48.116183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-30 08:49:48.116183,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency,urgent patient experiencing severe cough immediate assistance required
2024-08-30 11:47:48.116183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-29 23:46:48.116183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-30 04:37:48.116183,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent,patient reporting persistent chest pain requires prompt attention
2024-08-30 06:25:48.116183,Patient reporting persistent Fever. Requires prompt attention.,Urgent,patient reporting persistent fever requires prompt attention
2024-08-30 08:37:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 10:10:48.116183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-30 03:18:48.116183,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent,patient reporting persistent chest pain requires prompt attention
2024-08-29 22:56:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 01:05:48.116183,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency,urgent patient experiencing severe cough immediate assistance required
2024-08-30 09:47:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-29 22:45:48.116183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-30 00:13:48.116183,Follow-up needed for mild Headache.,Non-urgent,followup needed mild headache
2024-08-30 11:45:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-29 22:36:48.116183,Follow-up needed for mild Nausea.,Non-urgent,followup needed mild nausea
2024-08-30 05:36:48.116183,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency,urgent patient experiencing severe cough immediate assistance required
2024-08-30 08:25:48.116183,Question about Amoxicillin side effects.,Inquiry,question amoxicillin side effects
2024-08-30 01:50:48.116183,Patient reporting persistent Nausea. Requires prompt attention.,Urgent,patient reporting persistent nausea requires prompt attention
2024-08-30 03:45:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-30 04:26:48.116183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-30 10:14:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-29 23:35:48.116183,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent,patient reporting persistent shortness breath requires prompt attention
2024-08-30 02:17:48.116183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-30 04:35:48.116183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-30 00:54:48.116183,Question about Amoxicillin side effects.,Inquiry,question amoxicillin side effects
2024-08-30 03:32:48.116183,Follow-up needed for mild Chest pain.,Non-urgent,followup needed mild chest pain
2024-08-30 03:44:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-30 08:14:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-30 08:21:48.116183,Question about Amoxicillin side effects.,Inquiry,question amoxicillin side effects
2024-08-30 01:50:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-30 09:18:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-29 21:07:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-30 02:23:48.116183,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency,urgent patient experiencing severe shortness breath immediate assistance required
2024-08-30 06:58:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-30 05:24:48.116183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-30 01:38:48.116183,Follow-up needed for mild Chest pain.,Non-urgent,followup needed mild chest pain
2024-08-30 08:06:48.116183,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency,urgent patient experiencing severe headache immediate assistance required
2024-08-30 04:01:48.116183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-30 03:10:48.116183,Patient reporting persistent Fever. Requires prompt attention.,Urgent,patient reporting persistent fever requires prompt attention
2024-08-30 10:18:48.116183,Follow-up needed for mild Chest pain.,Non-urgent,followup needed mild chest pain
2024-08-30 02:14:48.116183,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency,urgent patient experiencing severe headache immediate assistance required
2024-08-30 04:49:48.116183,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency,urgent patient experiencing severe cough immediate assistance required
2024-08-30 02:26:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 01:56:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-29 20:26:48.116183,Patient reporting persistent Headache. Requires prompt attention.,Urgent,patient reporting persistent headache requires prompt attention
2024-08-29 23:41:48.116183,Question about Amoxicillin side effects.,Inquiry,question amoxicillin side effects
2024-08-30 07:41:48.116183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-30 07:56:48.116183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-30 01:02:48.116183,Patient reporting persistent Headache. Requires prompt attention.,Urgent,patient reporting persistent headache requires prompt attention
2024-08-29 20:02:48.116183,Follow-up needed for mild Nausea.,Non-urgent,followup needed mild nausea
2024-08-30 03:47:48.116183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-30 03:39:48.116183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-30 11:07:48.116183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-29 23:54:48.116183,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency,urgent patient experiencing severe headache immediate assistance required
2024-08-30 02:25:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-29 23:27:48.116183,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency,urgent patient experiencing severe fever immediate assistance required
2024-08-29 21:07:48.116183,Question about Amoxicillin side effects.,Inquiry,question amoxicillin side effects
2024-08-30 12:14:48.116183,Patient reporting persistent Cough. Requires prompt attention.,Urgent,patient reporting persistent cough requires prompt attention
2024-08-30 12:08:48.116183,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency,urgent patient experiencing severe cough immediate assistance required
2024-08-30 04:55:48.116183,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency,urgent patient experiencing severe headache immediate assistance required
2024-08-30 08:46:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 01:17:48.116183,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency,urgent patient experiencing severe fever immediate assistance required
2024-08-30 00:16:48.116183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-30 07:11:48.116183,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency,urgent patient experiencing severe fever immediate assistance required
2024-08-30 04:19:48.116183,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent,patient reporting persistent shortness breath requires prompt attention
2024-08-29 23:05:48.116183,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency,urgent patient experiencing severe shortness breath immediate assistance required
2024-08-30 05:10:48.116183,Question about Amoxicillin side effects.,Inquiry,question amoxicillin side effects
2024-08-30 09:46:48.116183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-29 20:58:48.116183,Follow-up needed for mild Chest pain.,Non-urgent,followup needed mild chest pain
2024-08-30 01:39:48.116183,Follow-up needed for mild Headache.,Non-urgent,followup needed mild headache
2024-08-30 06:58:48.116183,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency,urgent patient experiencing severe cough immediate assistance required
2024-08-30 03:30:48.116183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-30 08:35:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 11:13:48.116183,Follow-up needed for mild Headache.,Non-urgent,followup needed mild headache
2024-08-29 21:41:48.116183,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency,urgent patient experiencing severe shortness breath immediate assistance required
2024-08-29 21:41:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-30 01:07:48.116183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-29 20:30:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-30 03:49:48.116183,Follow-up needed for mild Nausea.,Non-urgent,followup needed mild nausea
2024-08-29 21:35:48.116183,Patient reporting persistent Headache. Requires prompt attention.,Urgent,patient reporting persistent headache requires prompt attention
2024-08-30 06:07:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 04:29:48.116183,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency,urgent patient experiencing severe headache immediate assistance required
2024-08-30 03:33:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-30 02:04:48.116183,Follow-up needed for mild Nausea.,Non-urgent,followup needed mild nausea
2024-08-29 21:09:48.116183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-30 10:38:48.116183,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency,urgent patient experiencing severe headache immediate assistance required
2024-08-30 11:54:48.116183,Follow-up needed for mild Nausea.,Non-urgent,followup needed mild nausea
2024-08-30 00:12:48.116183,Follow-up needed for mild Shortness of breath.,Non-urgent,followup needed mild shortness breath
2024-08-30 12:12:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-29 23:21:48.116183,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency,urgent patient experiencing severe headache immediate assistance required
2024-08-30 10:39:48.116183,Patient reporting persistent Cough. Requires prompt attention.,Urgent,patient reporting persistent cough requires prompt attention
2024-08-30 11:02:48.116183,Follow-up needed for mild Shortness of breath.,Non-urgent,followup needed mild shortness breath
2024-08-30 12:16:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 05:07:48.116183,Follow-up needed for mild Shortness of breath.,Non-urgent,followup needed mild shortness breath
2024-08-30 07:00:48.116183,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent,patient reporting persistent shortness breath requires prompt attention
2024-08-29 20:14:48.116183,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency,urgent patient experiencing severe fever immediate assistance required
2024-08-30 06:35:48.116183,Patient reporting persistent Fever. Requires prompt attention.,Urgent,patient reporting persistent fever requires prompt attention
2024-08-30 08:26:48.116183,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent,patient reporting persistent chest pain requires prompt attention
2024-08-30 06:52:48.116183,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent,patient reporting persistent chest pain requires prompt attention
2024-08-30 12:06:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-30 10:38:48.116183,Follow-up needed for mild Shortness of breath.,Non-urgent,followup needed mild shortness breath
2024-08-30 08:56:48.116183,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency,urgent patient experiencing severe fever immediate assistance required
2024-08-29 21:15:48.116183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-29 21:51:48.116183,Follow-up needed for mild Headache.,Non-urgent,followup needed mild headache
2024-08-30 02:23:48.116183,Follow-up needed for mild Headache.,Non-urgent,followup needed mild headache
2024-08-30 09:55:48.116183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-30 11:02:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 01:19:48.116183,Patient reporting persistent Headache. Requires prompt attention.,Urgent,patient reporting persistent headache requires prompt attention
2024-08-30 06:02:48.116183,Patient reporting persistent Nausea. Requires prompt attention.,Urgent,patient reporting persistent nausea requires prompt attention
2024-08-30 08:04:48.116183,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency,urgent patient experiencing severe fever immediate assistance required
2024-08-29 20:13:48.116183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-29 20:45:48.116183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-30 00:11:48.116183,Patient reporting persistent Cough. Requires prompt attention.,Urgent,patient reporting persistent cough requires prompt attention
2024-08-30 11:41:48.116183,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency,urgent patient experiencing severe cough immediate assistance required
2024-08-29 21:05:48.116183,Follow-up needed for mild Nausea.,Non-urgent,followup needed mild nausea
2024-08-30 01:14:48.116183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-29 23:18:48.116183,Follow-up needed for mild Shortness of breath.,Non-urgent,followup needed mild shortness breath
2024-08-30 08:33:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-30 05:43:48.116183,Question about Amoxicillin side effects.,Inquiry,question amoxicillin side effects
2024-08-30 10:30:48.116183,Patient reporting persistent Headache. Requires prompt attention.,Urgent,patient reporting persistent headache requires prompt attention
2024-08-29 21:36:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-29 22:43:48.116183,Patient reporting persistent Nausea. Requires prompt attention.,Urgent,patient reporting persistent nausea requires prompt attention
2024-08-30 10:29:48.116183,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency,urgent patient experiencing severe fever immediate assistance required
2024-08-30 01:49:48.116183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-30 04:34:48.116183,Question about Amoxicillin side effects.,Inquiry,question amoxicillin side effects
2024-08-30 11:34:48.116183,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency,urgent patient experiencing severe shortness breath immediate assistance required
2024-08-30 00:21:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-30 08:33:48.116183,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency,urgent patient experiencing severe fever immediate assistance required
2024-08-29 21:31:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 02:26:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 05:15:48.116183,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency,urgent patient experiencing severe shortness breath immediate assistance required
2024-08-29 20:29:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-29 23:37:48.116183,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency,urgent patient experiencing severe shortness breath immediate assistance required
2024-08-30 04:56:48.116183,Follow-up needed for mild Headache.,Non-urgent,followup needed mild headache
2024-08-30 02:12:48.116183,Patient reporting persistent Nausea. Requires prompt attention.,Urgent,patient reporting persistent nausea requires prompt attention
2024-08-29 20:25:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 01:56:48.116183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-30 10:10:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-30 03:09:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-30 12:31:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-30 07:20:48.116183,Patient reporting persistent Cough. Requires prompt attention.,Urgent,patient reporting persistent cough requires prompt attention
2024-08-30 01:51:48.116183,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent,patient reporting persistent chest pain requires prompt attention
2024-08-30 04:07:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-30 11:42:48.116183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-30 11:59:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 01:47:48.116183,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency,urgent patient experiencing severe headache immediate assistance required
2024-08-30 02:46:48.116183,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency,urgent patient experiencing severe shortness breath immediate assistance required
2024-08-29 23:00:48.116183,Patient reporting persistent Fever. Requires prompt attention.,Urgent,patient reporting persistent fever requires prompt attention
2024-08-30 10:40:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-30 03:48:48.116183,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent,patient reporting persistent chest pain requires prompt attention
2024-08-30 02:22:48.116183,Follow-up needed for mild Shortness of breath.,Non-urgent,followup needed mild shortness breath
2024-08-30 12:20:48.116183,Follow-up needed for mild Shortness of breath.,Non-urgent,followup needed mild shortness breath
2024-08-30 07:33:48.116183,Follow-up needed for mild Chest pain.,Non-urgent,followup needed mild chest pain
2024-08-30 01:53:48.116183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-30 00:35:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-30 00:46:48.116183,Follow-up needed for mild Nausea.,Non-urgent,followup needed mild nausea
2024-08-30 08:12:48.116183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-30 09:07:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-30 12:10:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-29 20:52:48.116183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-29 23:51:48.116183,Question about Amoxicillin side effects.,Inquiry,question amoxicillin side effects
2024-08-30 04:28:48.116183,Follow-up needed for mild Headache.,Non-urgent,followup needed mild headache
2024-08-30 11:45:48.116183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-30 07:01:48.116183,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency,urgent patient experiencing severe cough immediate assistance required
2024-08-30 09:02:48.116183,Patient reporting persistent Cough. Requires prompt attention.,Urgent,patient reporting persistent cough requires prompt attention
2024-08-30 05:11:48.116183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-30 05:02:48.117183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-30 02:32:48.117183,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency,urgent patient experiencing severe headache immediate assistance required
2024-08-30 00:42:48.117183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-30 11:01:48.117183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-30 05:41:48.117183,Patient reporting persistent Nausea. Requires prompt attention.,Urgent,patient reporting persistent nausea requires prompt attention
2024-08-30 04:32:48.117183,Follow-up needed for mild Chest pain.,Non-urgent,followup needed mild chest pain
2024-08-30 08:12:48.117183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-30 00:37:48.117183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-30 06:03:48.117183,Follow-up needed for mild Chest pain.,Non-urgent,followup needed mild chest pain
2024-08-30 01:54:48.117183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-30 12:16:48.117183,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent,patient reporting persistent chest pain requires prompt attention
2024-08-30 07:34:48.117183,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency,urgent patient experiencing severe cough immediate assistance required
2024-08-30 07:36:48.117183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-30 09:21:48.117183,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency,urgent patient experiencing severe headache immediate assistance required
2024-08-30 10:10:48.117183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-29 21:26:48.117183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-30 01:48:48.117183,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent,patient reporting persistent chest pain requires prompt attention
2024-08-30 01:02:48.117183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-30 00:22:48.117183,Patient reporting persistent Fever. Requires prompt attention.,Urgent,patient reporting persistent fever requires prompt attention
2024-08-29 22:06:48.117183,Patient reporting persistent Headache. Requires prompt attention.,Urgent,patient reporting persistent headache requires prompt attention
2024-08-30 11:53:48.117183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
